wavenumber (1/cm),cross section (cm^2)
9976.000,3.817E-24
9977.000,4.103E-24
9978.000,4.389E-24
9979.000,4.675E-24
9980.000,5.296E-24
9981.000,5.918E-24
9982.000,6.153E-24
9983.000,6.389E-24
9984.000,6.624E-24
9985.000,6.491E-24
9986.000,6.358E-24
9987.000,6.225E-24
9988.000,6.138E-24
9989.000,6.052E-24
9990.000,5.965E-24
9991.000,5.971E-24
9992.000,5.977E-24
9993.000,5.983E-24
9994.000,5.826E-24
9995.000,5.669E-24
9996.000,5.807E-24
9997.000,5.944E-24
9998.000,6.082E-24
9999.000,6.637E-24
10000.000,7.191E-24
10001.000,7.746E-24
10002.000,8.316E-24
10003.000,8.885E-24
10004.000,9.455E-24
10005.000,9.173E-24
10006.000,8.891E-24
10007.000,8.614E-24
10008.000,8.337E-24
10009.000,8.060E-24
10010.000,8.133E-24
10011.000,8.207E-24
10012.000,8.280E-24
10013.000,8.376E-24
10014.000,8.473E-24
10015.000,8.569E-24
10016.000,8.881E-24
10017.000,9.194E-24
10018.000,9.506E-24
10019.000,1.111E-23
10020.000,1.272E-23
10021.000,1.327E-23
10022.000,1.383E-23
10023.000,1.438E-23
10024.000,1.369E-23
10025.000,1.301E-23
10026.000,1.232E-23
10027.000,1.195E-23
10028.000,1.158E-23
10029.000,1.121E-23
10030.000,1.163E-23
10031.000,1.205E-23
10032.000,1.247E-23
10033.000,1.400E-23
10034.000,1.553E-23
10035.000,1.661E-23
10036.000,1.769E-23
10037.000,1.877E-23
10038.000,1.893E-23
10039.000,1.910E-23
10040.000,1.926E-23
10041.000,1.903E-23
10042.000,1.881E-23
10043.000,1.858E-23
10044.000,1.950E-23
10045.000,2.042E-23
10046.000,2.134E-23
10047.000,2.365E-23
10048.000,2.596E-23
10049.000,2.658E-23
10050.000,2.719E-23
10051.000,2.781E-23
10052.000,2.762E-23
10053.000,2.742E-23
10054.000,2.723E-23
10055.000,2.720E-23
10056.000,2.718E-23
10057.000,2.715E-23
10058.000,2.768E-23
10059.000,2.820E-23
10060.000,2.873E-23
10061.000,2.897E-23
10062.000,2.921E-23
10063.000,2.945E-23
10064.000,2.876E-23
10065.000,2.806E-23
10066.000,2.799E-23
10067.000,2.793E-23
10068.000,2.786E-23
10069.000,2.808E-23
10070.000,2.831E-23
10071.000,2.853E-23
10072.000,2.842E-23
10073.000,2.831E-23
10074.000,2.820E-23
10075.000,2.886E-23
10076.000,2.951E-23
10077.000,3.017E-23
10078.000,3.400E-23
10079.000,3.784E-23
10080.000,4.153E-23
10081.000,4.523E-23
10082.000,4.892E-23
10083.000,5.022E-23
10084.000,5.151E-23
10085.000,5.281E-23
10086.000,5.032E-23
10087.000,4.783E-23
10088.000,4.534E-23
10089.000,4.192E-23
10090.000,3.849E-23
10091.000,3.507E-23
10092.000,3.242E-23
10093.000,2.977E-23
10094.000,2.712E-23
10095.000,2.452E-23
10096.000,2.191E-23
10097.000,2.091E-23
10098.000,1.991E-23
10099.000,1.891E-23
10100.000,1.831E-23
10101.000,1.771E-23
10102.000,1.711E-23
10103.000,1.660E-23
10104.000,1.610E-23
10105.000,1.559E-23
10106.000,1.523E-23
10107.000,1.486E-23
10108.000,1.450E-23
10109.000,1.421E-23
10110.000,1.391E-23
10111.000,1.362E-23
10112.000,1.330E-23
10113.000,1.298E-23
10114.000,1.264E-23
10115.000,1.230E-23
10116.000,1.196E-23
10117.000,1.166E-23
10118.000,1.137E-23
10119.000,1.107E-23
10120.000,1.089E-23
10121.000,1.070E-23
10122.000,1.052E-23
10123.000,1.024E-23
10124.000,9.962E-24
10125.000,9.683E-24
10126.000,9.458E-24
10127.000,9.232E-24
10128.000,9.007E-24
10129.000,8.725E-24
10130.000,8.442E-24
10131.000,8.160E-24
10132.000,7.778E-24
10133.000,7.395E-24
10134.000,7.168E-24
10135.000,6.940E-24
10136.000,6.713E-24
10137.000,6.447E-24
10138.000,6.181E-24
10139.000,5.915E-24
