wavenumber[1/cm],cross section[cm^2]
856.3110036560868,3.361e-20
856.3210477701888,3.156e-20
856.3310918842908,2.929e-20
856.3411359983929,3.001e-20
856.351180112495,3.357e-20
856.361224226597,3.571e-20
856.3712683406991,3.345e-20
856.3813124548011,3.012e-20
856.3913565689031,3.016e-20
856.4014006830052,3.265e-20
856.4114447971073,3.387e-20
856.4214889112093,3.218e-20
856.4315330253113,2.911e-20
856.4415771394134,2.854e-20
856.4516212535154,3.205e-20
856.4616653676175,3.493e-20
856.4717094817196,3.292e-20
856.4817535958216,2.939e-20
856.4917977099236,2.913e-20
856.5018418240256,3.119e-20
856.5118859381278,3.287e-20
856.5219300522298,3.344e-20
856.5319741663318,3.246e-20
856.5420182804339,3.076e-20
856.5520623945359,3.043e-20
856.562106508638,3.107e-20
856.5721506227401,3.132e-20
856.5821947368421,3.221e-20
856.5922388509441,3.353e-20
856.6022829650461,3.315e-20
856.6123270791483,3.297e-20
856.6223711932503,3.601e-20
856.6324153073523,3.897e-20
856.6424594214544,3.763e-20
856.6525035355564,3.411e-20
856.6625476496584,3.199e-20
856.6725917637605,3.233e-20
856.6826358778626,3.53e-20
856.6926799919646,3.778e-20
856.7027241060666,3.504e-20
856.7127682201688,3.043e-20
856.7228123342708,3.189e-20
856.7328564483728,3.728e-20
856.7429005624749,3.754e-20
856.7529446765769,3.248e-20
856.762988790679,2.967e-20
856.773032904781,3.189e-20
856.7830770188831,3.543e-20
856.7931211329851,3.619e-20
856.8031652470871,3.336e-20
856.8132093611893,3.029e-20
856.8232534752913,3.074e-20
856.8332975893933,3.338e-20
856.8433417034953,3.427e-20
856.8533858175974,3.328e-20
856.8634299316994,3.288e-20
856.8734740458015,3.368e-20
856.8835181599036,3.476e-20
856.8935622740056,3.527e-20
856.9036063881076,3.472e-20
856.9136505022097,3.389e-20
856.9236946163118,3.41e-20
856.9337387304138,3.473e-20
856.9437828445158,3.477e-20
856.9538269586179,3.516e-20
856.9638710727199,3.63e-20
856.973915186822,3.598e-20
856.9839593009241,3.373e-20
856.9940034150261,3.356e-20
857.0040475291281,3.743e-20
857.0140916432301,3.981e-20
857.0241357573323,3.586e-20
857.0341798714343,3.141e-20
857.0442239855363,3.415e-20
857.0542680996384,3.921e-20
857.0643122137404,3.725e-20
857.0743563278425,3.122e-20
857.0844004419446,2.972e-20
857.0944445560466,3.273e-20
857.1044886701486,3.62e-20
857.1145327842506,3.893e-20
857.1245768983528,3.823e-20
857.1346210124548,3.345e-20
857.1446651265568,3.184e-20
857.1547092406589,3.597e-20
857.1647533547609,3.704e-20
857.174797468863,3.26e-20
857.184841582965,3.176e-20
857.1948856970671,3.614e-20
857.2049298111691,3.815e-20
857.2149739252711,3.7e-20
857.2250180393733,3.618e-20
857.2350621534753,3.442e-20
857.2451062675773,3.252e-20
857.2551503816794,3.438e-20
857.2651944957814,3.758e-20
857.2752386098834,3.783e-20
857.2852827239855,3.661e-20
857.2953268380876,3.486e-20
857.3053709521896,3.252e-20
857.3154150662916,3.413e-20
857.3254591803938,3.958e-20
857.3355032944958,3.991e-20
857.3455474085978,3.444e-20
857.3555915226998,3.228e-20
857.3656356368019,3.438e-20
857.3756797509039,3.617e-20
857.385723865006,3.922e-20
857.3957679791081,4.203e-20
857.4058120932101,3.863e-20
857.4158562073121,3.465e-20
857.4259003214142,3.888e-20
857.4359444355163,4.328e-20
857.4459885496183,3.854e-20
857.4560326637203,3.366e-20
857.4660767778224,3.701e-20
857.4761208919244,4.06e-20
857.4861650060265,3.801e-20
857.4962091201286,3.484e-20
857.5062532342306,3.52e-20
857.5162973483326,3.643e-20
857.5263414624346,3.669e-20
857.5363855765368,3.683e-20
857.5464296906388,3.769e-20
857.5564738047408,3.884e-20
857.5665179188429,3.862e-20
857.5765620329449,3.757e-20
857.586606147047,3.835e-20
